pair,side,units,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl_usd,r_multiple,bars_held,partial_taken
USD_JPY,long,134064,114.6785,2022-02-03 09:00:00+00:00,114.9382142857143,2022-02-03 12:00:00+00:00,tp,225.97,1.46,4,True
EUR_USD,long,48904,1.13648,2022-02-03 14:00:00+00:00,1.1429057142857142,2022-02-03 16:00:00+00:00,tp,235.19,1.49,3,True
USD_CHF,short,59245,0.9188149999999999,2022-02-03 16:00:00+00:00,0.9214185714285714,2022-02-03 16:00:00+00:00,sl,-167.4,-1.03,1,False
GBP_USD,long,39462,1.36162,2022-02-10 16:00:00+00:00,1.36166,2022-02-10 17:00:00+00:00,sl,1.58,0.01,2,False
AUD_USD,long,30356,0.7237,2022-02-10 16:00:00+00:00,0.7184492857142858,2022-02-10 19:00:00+00:00,sl,-159.39,-1.01,4,False
GBP_USD,long,21627,1.36128,2022-02-10 18:00:00+00:00,1.3538957142857142,2022-02-11 00:00:00+00:00,sl,-159.7,-1.01,7,False
EUR_USD,short,43286,1.1356199999999999,2022-02-17 06:00:00+00:00,1.13341,2022-02-18 19:00:00+00:00,sl,124.08,0.8,38,True
EUR_USD,short,48119,1.1317,2022-02-21 19:00:00+00:00,1.13164,2022-02-22 00:00:00+00:00,sl,2.89,0.02,6,False
USD_CHF,short,64276,0.917995,2022-02-23 17:00:00+00:00,0.9202857142857144,2022-02-24 07:00:00+00:00,sl,-159.99,-1.03,15,False
USD_JPY,short,60851,114.5595,2022-02-24 06:00:00+00:00,114.6325,2022-02-24 08:00:00+00:00,sl,-38.75,-0.25,3,False
AUD_USD,long,37516,0.71993,2022-02-25 06:00:00+00:00,0.71889,2022-02-27 22:00:00+00:00,sl,-39.02,-0.26,17,False
USD_JPY,long,74859,115.33349999999999,2022-03-07 15:00:00+00:00,115.339,2022-03-07 17:00:00+00:00,sl,3.57,0.02,3,False
GBP_USD,short,29871,1.3106900000000001,2022-03-10 17:00:00+00:00,1.3078174999999999,2022-03-11 10:00:00+00:00,sl,117.62,0.78,18,True
USD_JPY,long,78225,118.5945,2022-03-16 18:00:00+00:00,119.05714285714285,2022-03-16 18:00:00+00:00,tp,227.39,1.48,1,True
GBP_USD,long,36338,1.3221699999999998,2022-03-22 12:00:00+00:00,1.3236303571428574,2022-03-22 15:00:00+00:00,sl,103.96,0.66,4,True
USD_CHF,short,50708,0.9318649999999999,2022-03-22 14:00:00+00:00,0.9348542857142857,2022-03-23 04:00:00+00:00,sl,-162.14,-1.02,15,False
EUR_USD,long,38489,1.10416,2022-03-22 14:00:00+00:00,1.0999742857142856,2022-03-23 09:00:00+00:00,sl,-161.1,-1.01,20,False
EUR_USD,short,50623,1.0965799999999999,2022-03-23 14:00:00+00:00,1.099692857142857,2022-03-23 15:00:00+00:00,sl,-157.58,-1.01,2,False
USD_CHF,short,37445,0.9316049999999999,2022-03-29 15:00:00+00:00,0.9283157142857142,2022-03-30 08:00:00+00:00,sl,140.17,0.93,18,True
GBP_USD,short,22958,1.3084,2022-04-05 17:00:00+00:00,1.30836,2022-04-06 08:00:00+00:00,sl,0.92,0.01,16,False
EUR_USD,short,58285,1.08918,2022-04-07 10:00:00+00:00,1.0918957142857144,2022-04-07 11:00:00+00:00,sl,-158.29,-1.01,2,False
USD_JPY,long,58487,126.1385,2022-04-13 07:00:00+00:00,126.03550000000001,2022-04-13 08:00:00+00:00,sl,-47.8,-0.32,2,False
USD_CHF,long,59884,0.934305,2022-04-13 12:00:00+00:00,0.93433,2022-04-13 13:00:00+00:00,sl,1.6,0.01,2,False
EUR_USD,short,41358,1.08474,2022-04-14 13:00:00+00:00,1.0774428571428574,2022-04-14 13:00:00+00:00,tp,225.93,1.49,1,True
USD_CHF,long,49205,0.9343750000000001,2022-04-13 14:00:00+00:00,0.9399314285714286,2022-04-14 13:00:00+00:00,tp,217.39,1.47,24,True
GBP_USD,short,38126,1.30369,2022-04-14 14:00:00+00:00,1.3078771428571427,2022-04-14 18:00:00+00:00,sl,-159.64,-1.01,5,False
EUR_USD,short,21710,1.0770199999999999,2022-04-14 14:00:00+00:00,1.0793000000000001,2022-04-18 14:00:00+00:00,time_stop,-49.5,-0.31,49,False
AUD_USD,short,46101,0.73689,2022-04-21 17:00:00+00:00,0.7303200000000001,2022-04-22 09:00:00+00:00,tp,226.59,1.48,17,True
GBP_USD,short,38409,1.28865,2022-04-22 09:00:00+00:00,1.28861,2022-04-22 10:00:00+00:00,sl,1.54,0.01,2,False
USD_CHF,long,35404,0.954125,2022-04-21 17:00:00+00:00,0.9571142857142857,2022-04-22 17:00:00+00:00,sl,130.41,0.85,25,True
AUD_USD,short,35401,0.70833,2022-04-29 17:00:00+00:00,0.7058960714285715,2022-05-02 06:00:00+00:00,sl,123.11,0.76,14,True
GBP_USD,short,40442,1.24974,2022-05-02 17:00:00+00:00,1.2497,2022-05-02 22:00:00+00:00,sl,1.62,0.01,6,False
USD_JPY,long,38952,130.0025,2022-05-05 12:00:00+00:00,130.18328571428572,2022-05-05 19:00:00+00:00,sl,107.6,0.66,8,True
AUD_USD,short,29963,0.71363,2022-05-05 15:00:00+00:00,0.7115757142857143,2022-05-05 20:00:00+00:00,sl,111.42,0.68,6,True
EUR_USD,short,36772,1.05064,2022-05-05 16:00:00+00:00,1.05058,2022-05-06 07:00:00+00:00,sl,2.21,0.01,16,False
GBP_USD,short,20225,1.2393800000000001,2022-05-05 12:00:00+00:00,1.2313757142857142,2022-05-06 07:00:00+00:00,sl,161.38,1.0,20,True
USD_JPY,long,46160,130.75650000000002,2022-05-11 13:00:00+00:00,130.26885714285714,2022-05-11 13:00:00+00:00,sl,-172.79,-1.01,1,False
USD_CHF,long,42379,0.995685,2022-05-11 13:00:00+00:00,0.9916114285714286,2022-05-11 13:00:00+00:00,sl,-174.09,-1.02,1,False
AUD_USD,short,38694,0.6932,2022-05-11 13:00:00+00:00,0.6974957142857143,2022-05-11 13:00:00+00:00,sl,-166.22,-1.01,1,False
USD_JPY,short,49921,128.5735,2022-05-18 14:00:00+00:00,128.33407142857143,2022-05-18 21:00:00+00:00,sl,126.74,0.78,8,True
EUR_USD,short,43457,1.04738,2022-05-18 19:00:00+00:00,1.0511542857142857,2022-05-19 10:00:00+00:00,sl,-164.02,-1.01,16,False
GBP_USD,long,25555,1.24885,2022-05-19 14:00:00+00:00,1.24889,2022-05-19 17:00:00+00:00,sl,1.02,0.01,4,False
EUR_USD,long,48019,1.07138,2022-05-26 10:00:00+00:00,1.0747185714285714,2022-05-27 05:00:00+00:00,sl,160.31,0.99,20,True
EUR_USD,long,53890,1.07162,2022-06-02 15:00:00+00:00,1.0747507142857142,2022-06-03 04:00:00+00:00,sl,165.12,1.01,14,True
GBP_USD,short,40237,1.24923,2022-06-03 16:00:00+00:00,1.25342,2022-06-06 06:00:00+00:00,sl,-168.59,-1.01,15,False
GBP_USD,short,50500,1.2447700000000002,2022-06-07 06:00:00+00:00,1.24684,2022-06-07 07:00:00+00:00,sl,-104.53,-0.63,2,False
AUD_USD,long,36252,0.72315,2022-06-07 19:00:00+00:00,0.7186614285714286,2022-06-08 08:00:00+00:00,sl,-162.72,-1.01,14,False
USD_CHF,long,30649,1.000355,2022-06-14 15:00:00+00:00,1.00038,2022-06-14 23:00:00+00:00,sl,0.77,0.0,9,False
EUR_USD,short,25618,1.0385199999999999,2022-06-15 16:00:00+00:00,1.0446671428571428,2022-06-15 18:00:00+00:00,sl,-157.48,-1.01,3,False
AUD_USD,short,35145,0.69052,2022-06-17 15:00:00+00:00,0.6950357142857143,2022-06-19 23:00:00+00:00,sl,-158.7,-1.01,9,False
USD_JPY,long,18011,134.0925,2022-06-17 06:00:00+00:00,134.99910714285713,2022-06-20 01:00:00+00:00,sl,136.31,0.89,20,True
GBP_USD,short,66380,1.22255,2022-06-22 07:00:00+00:00,1.2178614285714284,2022-06-22 07:00:00+00:00,tp,232.42,1.47,1,True
GBP_USD,short,40339,1.21958,2022-06-22 08:00:00+00:00,1.223547142857143,2022-06-22 09:00:00+00:00,sl,-160.03,-1.02,2,False
GBP_USD,short,35028,1.2199,2022-06-23 09:00:00+00:00,1.2243714285714284,2022-06-23 12:00:00+00:00,sl,-156.63,-1.01,4,False
EUR_USD,long,79468,1.05884,2022-06-27 08:00:00+00:00,1.0568264285714284,2022-06-27 09:00:00+00:00,sl,-160.01,-1.02,2,False
AUD_USD,short,56842,0.68776,2022-06-29 09:00:00+00:00,0.68771,2022-06-29 10:00:00+00:00,sl,2.84,0.02,2,False
GBP_USD,short,36961,1.20672,2022-07-01 10:00:00+00:00,1.198602857142857,2022-07-01 14:00:00+00:00,tp,224.46,1.49,5,True
EUR_USD,short,33116,1.039,2022-07-01 15:00:00+00:00,1.0437228571428572,2022-07-03 23:00:00+00:00,sl,-156.4,-1.01,9,False
GBP_USD,short,37302,1.2025000000000001,2022-07-05 11:00:00+00:00,1.1943885714285714,2022-07-05 13:00:00+00:00,tp,226.37,1.49,3,True
AUD_USD,short,38258,0.67923,2022-07-05 09:00:00+00:00,0.67918,2022-07-05 18:00:00+00:00,sl,1.91,0.01,10,False
GBP_USD,short,37505,1.19428,2022-07-08 08:00:00+00:00,1.19424,2022-07-08 09:00:00+00:00,sl,1.5,0.01,2,False
GBP_USD,short,33435,1.19526,2022-07-08 10:00:00+00:00,1.2000142857142855,2022-07-08 11:00:00+00:00,sl,-158.96,-1.01,2,False
AUD_USD,short,51939,0.67866,2022-07-11 10:00:00+00:00,0.67289,2022-07-11 13:00:00+00:00,tp,224.12,1.48,4,True
GBP_USD,short,29828,1.18988,2022-07-11 14:00:00+00:00,1.18984,2022-07-11 15:00:00+00:00,sl,1.19,0.01,2,False
EUR_USD,short,36930,1.00691,2022-07-11 14:00:00+00:00,1.00293,2022-07-12 06:00:00+00:00,sl,151.84,0.96,17,True
GBP_USD,short,28728,1.19042,2022-07-11 16:00:00+00:00,1.1871749999999999,2022-07-12 07:00:00+00:00,sl,123.48,0.79,16,True
USD_JPY,long,46058,137.62650000000002,2022-07-13 14:00:00+00:00,137.1387142857143,2022-07-13 14:00:00+00:00,sl,-163.82,-1.01,1,False
USD_JPY,long,47264,138.1645,2022-07-19 18:00:00+00:00,138.17,2022-07-21 03:00:00+00:00,sl,1.88,0.01,34,False
USD_CHF,short,23117,0.9693649999999999,2022-07-21 15:00:00+00:00,0.96934,2022-07-22 07:00:00+00:00,sl,0.6,0.0,17,False
EUR_USD,long,18739,1.02011,2022-07-27 19:00:00+00:00,1.0116678571428572,2022-07-28 11:00:00+00:00,sl,-158.2,-1.0,17,False
USD_CHF,short,23961,0.958985,2022-07-27 19:00:00+00:00,0.9523096428571429,2022-07-29 07:00:00+00:00,sl,163.15,1.02,37,True
